rule-type,rule-text,rarity,is-active
equipment-quality-modifier,enchanted,5,
equipment-quality-modifier,plate,2,
equipment-quality-modifier,chain link,2,
equipment-quality-modifier,jeweled,4,
equipment-quality-modifier,heavy,2,
equipment-quality-modifier,light,2,
equipment-quality-modifier,two-handed,3,
equipment-quality-modifier,well-made,3,
equipment-quality-modifier,poorly made,3,
item,energy drink,1,
item,health drink,1,
item,ritual drink,2,
item,antivenom,2,
item,book,3,
item,map,3,
item,bag,3,
item,grappling hook,4,
item,rope,3,
item,cotton,4,
item,animal skin,2,
item,leather,3,
item,silk,4,
item,wood,1,
item,stone,1,
item,iron ore,5,
item,silver ore,10,
item,gold ore,20,
item,refined iron ingot,10,
item,refined steel ingot,20,
item,refined silver ingot,50,
item,refined gold ingot,100,
item,sand,1,
item,gemstone,10,
item,echinacea,5,
item,yerba mate,5,
item,onion,3,
item,cooked meat,3,
item,cooked fish,3,
item,raw meat,3,
item,raw fish,3,
item,bread,3,
item,waterskin,3,
item,wineskin,3,
item,bloodskin,4,
item,poison ivy,3,
item,belladonna,5,
item,hemlock,5,
item,carrot,3,
item,celery,3,
item,itching poison,8,
item,vomitting poison,10,
item,paralyzing poison,10,
item,green coffee,8,
item,spellbook,3,
item,roasted coffee,3,
monster,mosquito,1,
monster-land,wasp,2,
monster-land,snake,3,
monster-land,deer,3,
monster-land,wolf,3,
monster-land,boar,4,
monster-any,"character-like. That is, based on character-type roll",3,
monster-land,horse,4,
monster-water,shark,3,
monster-water,fish,1,
monster-water,whale,5,
monster-land,elephant,5,
monster-land,bear,4,
monster-land,bigfoot,10,
monster-water,lockness,10,
monster-any,dragon,20,
monster-any,fairy,5,
monster-any,goblin,4,
monster-any,bird,3,
monster-land,ape,4,
monster-land,great wurm,5,
monster-land,golem,4,
monster-any,elemental,4,
monster-any,slime,3,
monster-land,treent,4,
monster-any,animated equipment,4,
monster-any,animated skeleton,4,
monster-any,ghost,6,
monster-water,siren,10,
monster-modifier,apprenticing/weak,1,
monster-modifier,journeyman/normal,3,
monster-modifier,master/veteran,5,
monster-modifier,uniquely powerful,10,
monster-modifier,alone,1,
monster-modifier,small pack,3,
monster-modifier,large pack,5,
monster-modifier,countless hoard/apparent army,10,
quest,hunt animated monsters,20,
quest,hunt common monsters,10,
quest,hunt unique monster,20,
quest,hunt character-like. GM may allow suitable alternative like convert heathen.,40,
quest,fetch herbs,20,
quest,fetch skins,20,
quest,fetch ore,40,
quest,fetch gem,60,
quest,fetch wood,20,
quest,fetch sand,20,
quest,fetch stone,20,
quest,deliver shipment or message,30,
quest,capture building or town,60,
quest,perform enchantment,30,
quest,fetch spellbook,30,
quest,fetch fish,20,
quest,day labor,10,
quest,perform training,30,
quest,none available,1,
